cuisine,price_tier,avg_rating,count
American (New),1.0,3.816231343283582,1072
American (New),2.0,4.093818203267858,33906
American (New),3.0,4.140837960625946,7924
American (New),4.0,4.207207207207207,777
American (Traditional),1.0,3.648694665153235,1762
American (Traditional),2.0,3.8657800980634236,28349
American (Traditional),3.0,4.2911208151382825,1374
American (Traditional),4.0,3.9285714285714284,406
Bars,1.0,3.972972972972973,1517
Bars,2.0,4.036478500101896,44163
Bars,3.0,4.139026942191996,7646
Bars,4.0,4.143583227445998,787
Breakfast & Brunch,1.0,3.8461664482306683,6104
Breakfast & Brunch,2.0,4.012698495475998,38351
Breakfast & Brunch,3.0,3.8330849478390463,671
Cocktail Bars,1.0,3.888888888888889,45
Cocktail Bars,2.0,4.121006021962451,14115
Cocktail Bars,3.0,3.9950590172934395,3643
Cocktail Bars,4.0,3.9285714285714284,406
Coffee & Tea,1.0,3.8318379160636757,6910
Coffee & Tea,2.0,4.131414422779326,16155
Coffee & Tea,3.0,3.6,20
Food,1.0,3.7955757456053725,15189
Food,2.0,4.064734057016167,47811
Food,3.0,4.098055970946379,4681
Food,4.0,1.4,10
Mexican,1.0,3.876925667143699,11879
Mexican,2.0,4.107346981190897,19246
Mexican,3.0,4.395427034297243,1487
Nightlife,1.0,4.0,1657
Nightlife,2.0,4.033666240603132,46159
Nightlife,3.0,4.139026942191996,7646
Nightlife,4.0,4.143583227445998,787
Restaurants,1.0,3.8106260680441197,32185
Restaurants,2.0,3.950362849081939,132562
Restaurants,3.0,4.08361616784943,12964
Restaurants,4.0,4.196417146513116,1563
Sandwiches,1.0,3.8694596235579843,6588
Sandwiches,2.0,4.098576972833118,19325
Sandwiches,3.0,4.324324324324325,481
Seafood,1.0,4.084745762711864,354
Seafood,2.0,3.904906357161699,30328
Seafood,3.0,3.998805542283803,4186
Seafood,4.0,4.163737280296022,1081
