hour,avg_stars,review_count,avg_sentiment
0,3.952907629828048,11573,0.7463924652207725
1,3.9556120288013554,11805,0.7460398136382889
2,3.9145732625406136,12619,0.7292178461050797
3,3.906864536881351,13679,0.7273923532421961
4,3.9238398342091627,13511,0.7327362889497446
5,3.893515037593985,10640,0.7254699248120301
6,3.893326113442534,7387,0.7331799106538514
7,3.8638297872340424,4230,0.7200945626477542
8,3.806765163297045,2572,0.6986780715396579
9,3.746705710102489,1366,0.6896046852122987
10,3.79133409350057,877,0.7115165336374002
11,3.9379194630872485,596,0.7600671140939598
12,3.8672566371681416,791,0.729456384323641
13,3.963225806451613,1550,0.7658064516129032
14,3.9410311824637234,3239,0.736955850571164
15,3.9861500701262274,5704,0.7566619915848527
16,4.0173645320197044,8120,0.7655172413793103
17,4.0014795817715525,10138,0.7599131978694023
18,4.008527269497247,11258,0.7608811511813821
19,3.9878213802435725,12563,0.7506964896919526
20,3.9792376820576387,12908,0.7488379299659126
21,3.96631677894407,12766,0.7502741657527808
22,3.971791815653556,12585,0.7479539133889551
23,3.9945161562473634,11853,0.7626761157512866
